,DZN (POW),Train,Bus,Ferry,Tram/light rail,Taxi/ride-share service,"Car, as driver","Car, as passenger",Truck,Motorbike/scooter,Bicycle,Other Mode,Walked only,Worked at home,Did not go to work,Not stated,Not applicable,Total
0,510212146,0,5,0,0,0,367,22,13,0,0,4,22,180,82,3,0,698
1,510222145,10,31,0,0,0,1045,126,9,6,8,14,22,220,268,8,0,1747
2,510232133,12,3,0,0,7,1343,44,4,0,6,6,3,41,268,16,0,1751
3,510232134,17,15,0,0,4,756,55,6,0,3,4,16,77,122,3,0,1070
4,510232135,26,11,0,0,9,1497,98,17,5,7,6,15,22,203,7,0,1933
5,510242137,12,41,0,0,6,1593,138,12,6,13,8,39,249,370,11,0,2494
6,510242143,3,0,0,0,0,314,30,3,0,0,3,7,68,72,3,0,509
7,510252132,15,16,0,0,6,1717,95,8,3,16,11,21,38,234,12,0,2201
8,510252136,14,27,0,0,4,992,93,5,4,15,0,33,90,244,13,0,1534
9,510252138,11,8,0,0,3,782,36,5,0,4,6,15,20,90,7,0,973
10,510252139,12,10,0,0,3,604,85,0,4,6,7,17,18,137,3,0,891
11,510252140,9,8,0,0,3,903,39,3,4,3,3,4,38,102,7,0,1124
12,510252141,40,85,0,0,4,1065,167,0,4,6,9,37,8,373,9,0,1797
13,510252147,18,11,0,0,4,1188,71,0,5,0,4,13,32,205,8,0,1559
14,510262172,0,0,0,0,0,219,19,5,0,6,0,15,70,53,4,0,396
15,510262174,4,0,0,0,0,182,21,7,0,0,4,3,36,36,0,0,302
16,510272130,19,29,0,0,10,2004,194,18,7,3,18,38,309,393,16,0,3064
17,510282142,3,11,0,0,0,196,10,0,0,0,0,3,37,39,0,0,297
18,510282144,9,12,0,0,6,713,26,6,0,0,0,12,112,96,4,0,993
19,510292171,0,5,0,0,4,1487,91,3,3,8,3,26,52,316,14,0,2010
20,510292173,3,4,0,0,0,1115,27,0,4,0,3,4,37,279,5,0,1488
21,510292175,0,0,0,0,0,351,24,20,3,0,7,22,90,74,8,0,600
22,510292177,0,12,0,0,0,515,40,7,3,0,9,15,104,78,6,0,791
23,510301001,0,5,0,0,0,297,25,3,0,7,4,11,143,91,0,0,594
24,510301014,11,10,0,0,3,455,22,3,0,3,7,17,185,105,0,0,820
25,510311126,46,15,0,0,0,590,34,0,4,3,0,20,101,102,3,0,914
26,510311132,226,80,0,0,14,1625,136,6,0,7,9,57,95,419,7,0,2676
27,510311143,38,26,0,0,0,918,43,0,0,7,0,17,119,165,9,0,1348
28,510311144,11,4,0,0,0,272,11,0,0,0,0,5,54,54,0,0,412
29,510311149,21,22,0,0,0,606,23,0,0,13,3,25,43,73,0,0,823
30,510321145,38,5,0,0,4,512,29,0,0,6,0,36,212,102,4,0,956
31,510321147,65,10,0,0,6,1031,42,4,5,13,7,46,95,171,3,0,1499
32,510321161,15,0,0,0,0,218,21,0,0,0,5,6,91,39,5,0,402
33,510331015,21,33,0,0,3,771,62,6,5,4,3,35,223,179,8,0,1349
34,510331019,3,8,0,0,3,233,17,0,0,4,0,14,60,61,0,0,403
35,510331049,0,3,0,0,0,118,4,0,0,0,0,3,26,15,0,0,177
36,510341158,19,10,0,0,0,737,37,0,0,6,5,35,101,90,0,0,1042
37,510341163,50,7,0,0,0,977,46,0,4,12,6,66,113,151,8,0,1440
38,510341165,19,0,0,0,3,634,25,0,0,4,0,20,141,93,0,0,948
39,510341168,16,0,0,0,0,209,6,0,0,0,0,8,92,28,3,0,363
