,DZN (POW),Train,Bus,Ferry,Tram/light rail,Taxi/ride-share service,"Car, as driver","Car, as passenger",Truck,Motorbike/scooter,Bicycle,Other Mode,Walked only,Worked at home,Did not go to work,Not stated,Not applicable,Total
0,510212146,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,7
1,510222145,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
2,510232133,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,39
3,510232134,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,8
4,510232135,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,15
5,510242137,0,0,0,0,0,13,0,0,0,0,0,0,0,7,0,0,16
6,510242143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,510252132,3,0,0,0,0,18,0,0,0,0,0,0,0,4,0,0,26
8,510252136,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,0,15
9,510252138,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,17
10,510252139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
11,510252140,5,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10
12,510252141,9,0,0,0,0,17,0,0,0,0,0,0,0,4,0,0,25
13,510252147,0,0,0,0,0,27,0,0,0,0,0,0,0,12,0,0,37
14,510262172,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,8
15,510262174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,510272130,0,0,0,0,0,43,0,0,0,0,0,0,0,3,0,0,51
17,510282142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,510282144,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,20
19,510292171,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,17
20,510292173,0,0,0,0,0,33,4,0,0,0,0,0,0,3,0,0,44
21,510292175,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,10
22,510292177,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5
23,510301001,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,8
24,510301014,0,0,0,0,0,10,0,0,0,0,3,0,0,4,0,0,15
25,510311126,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,19
26,510311132,4,0,0,0,0,89,6,0,0,0,4,0,0,22,0,0,127
27,510311143,0,0,0,0,0,45,0,0,0,0,0,0,0,10,0,0,62
28,510311144,0,0,0,0,0,19,0,0,0,0,0,0,0,3,0,0,19
29,510311149,0,0,0,0,0,30,0,0,0,0,0,0,0,5,0,0,34
30,510321145,3,0,0,0,0,27,0,0,0,0,0,0,0,5,0,0,37
31,510321147,4,0,0,0,0,51,0,0,0,0,0,0,0,12,0,0,62
32,510321161,4,0,0,0,0,15,8,0,0,0,0,0,0,10,0,0,33
33,510331015,0,0,0,0,0,15,0,0,0,0,0,0,0,4,0,0,20
34,510331019,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3
35,510331049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,510341158,5,0,0,0,0,53,0,0,0,0,0,0,0,3,0,0,62
37,510341163,0,0,0,0,0,90,7,0,0,0,0,0,0,15,0,0,119
38,510341165,0,0,0,0,0,69,8,0,0,0,0,0,0,12,0,0,83
39,510341168,0,0,0,0,0,20,0,0,0,0,0,0,0,3,0,0,28
40,510351121,3,0,0,0,0,86,3,0,0,0,0,0,0,7,0,0,104
41,510351122,49,16,0,0,0,350,15,0,8,0,0,0,17,110,0,0,564
42,510351129,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,23
43,510351130,3,0,0,0,0,31,0,0,0,0,0,0,0,4,0,0,40
44,510351133,0,0,0,0,0,41,0,0,0,0,0,0,0,3,0,0,45
45,510351135,19,4,0,0,0,88,8,0,0,0,0,0,17,31,0,0,161
46,510351137,7,0,0,0,0,34,0,0,0,0,0,0,0,4,0,0,41
47,510351140,0,0,0,0,0,13,0,0,0,0,0,0,0,4,0,0,21
48,510351151,0,0,0,0,0,10,3,0,0,0,0,0,0,0,0,0,11
49,510351154,0,0,0,0,0,14,0,0,0,0,0,0,0,5,0,0,15
50,510361068,0,0,0,0,0,76,0,0,0,0,0,0,0,12,0,0,90
51,510361089,0,0,0,0,0,37,0,0,0,0,0,0,0,3,0,0,36
52,510361113,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,18
53,510361127,0,0,0,0,0,21,0,0,0,0,0,0,0,5,0,0,28
54,510371082,5,0,0,0,0,20,0,0,0,0,0,0,3,3,0,0,21
55,510381004,4,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,13
56,510381006,4,0,0,0,0,17,0,0,0,0,0,0,3,9,0,0,26
57,510381010,6,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,36
58,510381011,0,0,0,0,0,14,0,0,0,0,0,0,0,3,0,0,18
59,510381020,29,0,0,0,0,59,0,0,0,0,0,0,3,11,0,0,108
60,510381026,26,0,0,0,0,41,0,0,0,0,0,0,4,3,0,0,85
61,510391012,0,0,0,0,0,13,0,0,0,0,0,0,0,3,0,0,13
62,510391017,5,0,0,0,0,7,0,0,0,0,0,0,0,4,0,0,12
63,510391370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,510391373,0,0,0,0,0,9,0,0,0,0,0,0,0,3,0,0,14
65,510391383,0,0,0,0,0,16,0,0,0,0,0,0,3,0,0,0,25
66,510391384,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,10
67,510391389,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5
68,510391394,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,14
69,510391397,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,21
70,510401002,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,12
71,510401003,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,10
72,510401008,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,10
73,510401009,0,0,0,0,0,7,0,0,0,0,0,0,0,5,0,0,15
74,510401013,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,9
75,510420001,25,0,0,0,0,97,5,0,0,4,0,0,12,7,0,0,151
76,510421040,7,0,0,0,0,18,0,0,0,0,0,0,3,0,0,0,30
77,510421042,8,0,0,0,0,42,0,0,0,0,0,0,5,8,0,0,56
78,510421043,3,0,0,0,0,37,0,0,0,0,0,0,4,4,0,0,48
79,510421046,32,0,0,0,0,97,0,0,0,0,7,0,17,25,0,0,185
80,510421059,0,0,0,0,0,9,0,0,0,0,0,0,0,3,0,0,10
81,510421060,5,0,0,0,0,62,0,0,0,0,0,0,5,3,0,0,82
82,510421072,10,0,0,0,0,97,3,0,0,0,0,0,0,24,0,0,137
83,510421074,0,0,0,0,0,43,0,0,0,0,0,0,0,9,0,0,50
84,510421110,0,0,0,0,0,11,5,0,0,0,0,0,0,6,0,0,23
85,510431007,0,0,0,0,0,30,3,0,0,0,0,0,3,3,0,0,48
86,510431016,0,0,0,0,0,25,0,0,0,0,0,0,6,5,0,0,40
87,510431018,0,0,0,0,0,11,3,0,0,0,0,0,0,3,0,0,15
88,510431025,5,0,0,0,0,28,3,0,0,0,0,0,0,3,0,0,32
89,510431028,37,0,0,0,0,72,3,0,0,3,0,0,16,7,0,0,135
90,510431034,7,0,0,0,0,60,0,0,0,0,0,0,0,13,0,0,77
91,510431381,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,4
92,510431390,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
93,512950001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,512950002,14,0,0,0,0,20,3,0,0,0,0,0,4,4,0,0,47
95,512950003,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,7
96,512950004,0,0,0,0,0,12,0,0,0,0,0,0,0,4,0,0,15
97,512950005,5,0,0,0,0,24,0,0,0,0,0,0,4,9,0,0,43
98,512950006,46,0,0,0,0,89,11,0,0,0,0,0,0,21,0,0,173
99,512950007,0,0,0,0,0,14,0,0,0,0,0,0,3,0,0,0,21
100,512950008,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,25
101,512950009,10,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,36
102,512950010,7,0,0,0,0,10,0,0,0,0,0,0,9,0,0,0,26
103,512950011,6,0,0,0,0,18,3,0,0,0,0,0,0,0,0,0,26
104,512950012,11,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,30
105,512950013,23,0,0,0,0,73,6,0,0,0,0,0,3,17,0,0,120
106,512950014,34,6,0,0,0,66,6,0,0,0,0,0,14,33,0,0,161
107,512960001,3,0,0,0,0,22,0,0,0,0,0,0,4,0,0,0,31
108,512960002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
109,512960003,3,0,0,0,0,20,0,0,0,0,0,0,4,0,0,0,27
110,512960004,3,0,0,0,0,17,0,0,0,0,0,0,0,4,0,0,24
